Publication Name,Distribution,Revenue_Stream,State
The Coronado Times,Website,Advertising,CA
The Highlands Current,Website,Individual gifts,NY
The Highlands Current,Social media,Individual gifts,NY
The Highlands Current,Third party content platforms,Individual gifts,NY
The Ithaca Voice,Website,Institution Funding,NY
The Ithaca Voice,Social media,Institution Funding,NY
The Last Ambulance,Email,Audience,QC
The Last Ambulance,Social media,Audience,QC
The Last Ambulance,Website,Audience,QC
The Longmont Leader,Email,Individual gifts,CO
The Longmont Leader,Events,Individual gifts,CO
The Longmont Leader,Social media,Individual gifts,CO
The Longmont Leader,Syndicated feed or content partnerships,Individual gifts,CO
The Longmont Leader,Website,Individual gifts,CO
The Mendocino Voice,Website,Advertising,CA
The Mendocino Voice,Social media,Advertising,CA
The Mendocino Voice,Third party content platforms,Advertising,CA
The Mendocino Voice,Radio,Advertising,CA
The Milpitas Beat,Website,Advertising,CA
The Milpitas Beat,Social media,Advertising,CA
The Milpitas Beat,Third party content platforms,Advertising,CA
The Narwhal,Social media,Institution Funding,BC
The Narwhal,Third party content platforms,Institution Funding,BC
The Narwhal,Website,Institution Funding,BC
The Natomas Buzz,Social media,Advertising,CA
The Natomas Buzz,Syndicated feed or content partnerships,Advertising,CA
The Natomas Buzz,Website,Advertising,CA
The Oaklandside,Email,Individual gifts,CA
The Oaklandside,Social media,Individual gifts,CA
The Oaklandside,Text,Individual gifts,CA
The Oaklandside,Website,Individual gifts,CA
The Reader,Aggregation,Other,NE
The Reader,Social media,Other,NE
The Reader,Third party content platforms,Other,NE
The Reader,Website,Other,NE
The Tennessee Holler,Social media,Individual gifts,TN
The Tennessee Holler,Website,Individual gifts,TN
The Tyee,Social media,Individual gifts,BC
The Tyee,Website,Individual gifts,BC
This Is Reno,Website,Advertising,NV
This Is Reno,Social media,Advertising,NV
This Is Reno,Third party content platforms,Advertising,NV
This Is Reno,Syndicated feed or content partnerships,Advertising,NV
Treasure Coast News,Website,Other,FL
Treasure Coast News,Social media,Other,FL
Treasure Coast News,Third party content platforms,Other,FL
Tube City Almanac,Owned and operated mobile app(s),Institution Funding,PA
Tube City Almanac,Radio,Institution Funding,PA
Tube City Almanac,Social media,Institution Funding,PA
Tube City Almanac,Website,Institution Funding,PA
Universal Hub,Social media,Advertising,MA
Universal Hub,Website,Advertising,MA
Unpretentious Palate,Social media,Audience,NC
Unpretentious Palate,Website,Audience,NC
Vero Communiqué,Website,,FL
Vero Communiqué,Social media,,FL
Vngle,Website,Advertising,
Vngle,Social media,Advertising,
Vngle,Third party content platforms,Advertising,
Washington City Paper,Social media,Advertising,DC
Washington City Paper,Website,Advertising,DC
We-Ha.com,Website,Advertising,CT
We-Ha.com,Owned and operated mobile app(s),Advertising,CT
We-Ha.com,Social media,Advertising,CT
We-Ha.com,Third party content platforms,Advertising,CT
We-Ha.com,Syndicated feed or content partnerships,Advertising,CT
YourArlington.com,Social media,Advertising,MA
YourArlington.com,Syndicated feed or content partnerships,Advertising,MA
YourArlington.com,Website,Advertising,MA
"¿Qué Pasa, Midwest?",Social media,Other,IN
"¿Qué Pasa, Midwest?",Syndicated feed or content partnerships,Other,IN
"¿Qué Pasa, Midwest?",Website,Other,IN
